Benchmark,DE rand/1/bin,DE best/1/bin,PSO,SOMA AtO,SOMA AtA
Ackley,5.625129991434126e-16 (1),0.15687986355046313 (4),0.20000004800533133 (2),6.16994464408549e-09 (3),1.7756686335682923 (5)
Alpine,3.26158387387072e-16 (1),0.03901339525024732 (4),0.0012710780133051616 (3),3.1393372867911307e-05 (2),0.08692442693402581 (5)
Alpine2,-7.885600724127515 (4),-7.260747155050448 (1),-6.595522288985077 (5),-7.885600724127533 (2),-7.753529441833735 (3)
DeJong Sphere,1.0120480240446605e-58 (1),0.7107022292214409 (4),1.1666912163678176 (2),2.7078537039513684e-14 (3),8.177412493102986 (5)
DifferentPowersSum,1.895254904260606e-21 (3),3.4444463841461015e-06 (4),5.242517915016718e-35 (1),2.452906532712061e-22 (2),0.00014888866317929494 (5)
DixonPrice,1.076466443582839e-31 (3),0.08995587235484531 (1),3.0404014055393165e-32 (4),2.1564095074658727e-15 (2),0.10262520426828288 (5)
Exponential,-1.0 (1),-0.9996369387786878 (3),-1.0 (4),-1.0 (2),-0.9994890346593627 (5)
Griewank,0.018131756400969132 (4),0.12785551243740126 (1),0.034436509597824516 (3),0.011916283060890298 (5),0.10152231589932637 (2)
Matyas,0.003125251904828297 (4),0.02216738412718801 (1),0.03347740975394961 (2),4.974677401494446e-13 (3),0.7177985842483301 (5)
Michalewicz,-1.870048232431194 (1),-1.869635058048586 (3),-1.870048232431194 (4),-1.870048232431194 (2),-1.8672054798360727 (5)
Michalewicz2,-1.8013034100974978 (3),-1.7216851615309543 (4),-1.801303410098554 (1),-1.8013034100985537 (5),-1.7552594072600163 (2)
Qing,6.513856698651406e-32 (3),0.001027092715384958 (1),1.2236716304604494e-41 (4),3.53758057211092e-21 (5),0.0002772473791908169 (2)
Quartic,0.024021108215642517 (3),0.02483273694341287 (1),0.01493358438235279 (2),0.030565806742025838 (4),0.04640999060641693 (5)
Rastrigin,0.23227007223602256 (4),1.5574184889652616 (1),1.029972537301836 (3),0.13440404638282086 (5),1.2485533835161593 (2)
Rosenbrock,5.813427333294893e-07 (1),0.04584248129157134 (4),0.03333333333333333 (3),0.0021101470340602847 (2),0.06377128382296454 (5)
RotatedHyperEllipsoid,4.8861524520641523e-29 (1),0.08402551096850987 (4),0.9077708787982807 (2),3.647534770718768e-16 (3),15.6975191490901 (5)
Salomon,0.07469651900859892 (5),0.10249005707724372 (4),0.06991556389916725 (3),0.06991134237944321 (1),0.06530918647520029 (2)
Schwefel,19.739747890872007 (3),55.271314375737816 (4),3.4669378377456384 (1),11.843858916576535 (5),32.716502994904204 (2)
Schwefel2,1.8474957796885336e-29 (1),0.24574811326460225 (4),0.3000004053789906 (2),1.4141579007011939e-08 (3),2.320137342680476 (5)
Schwefel23,1.7230202086802394e-93 (3),5.771226564247363e-08 (1),4.639785564070707e-158 (4),1.1401190189122881e-74 (2),1.4684891389051512e-05 (5)
Styblinski,-78.33233140754285 (1),-74.53725915052402 (5),-75.97621156612827 (4),-77.86110743925994 (3),-77.87613600933774 (2)
SumSquares,4.458867906620087e-60 (1),0.0011837462986693955 (4),1.1465273902579912e-06 (3),9.816264281703776e-18 (2),0.06527573985035759 (5)
Trid,1.7707142018747265e-58 (1),6.911156894969412 (4),1.166666666667857 (3),4.011010799814775e-15 (2),13.444195252282436 (5)
Xin-She Yang,9.579377664822594e-05 (3),0.00012877595787436335 (4),7.433088449566082e-05 (1),7.706010945291803e-05 (2),0.0018391781006994337 (5)
Zakharov,1.7840669973426758e-56 (1),0.001989618965002907 (3),4.3108141647104505e-32 (4),4.353530673219602e-17 (2),0.06371121522482417 (5)
